System_Affiliation,Facility_Name,Current Year Market Share,Current Year Commercial Market Share,Hosp Lat,Hosp Long,Quality-Complications_Deaths,Likelihood to Recommend,Overall Hospital Linear Mean Score,Quality-Hosp Acq Infections,Quality-Readmissions,Total 2017-22 Pop Growth,2017 Household Income,CY Discharges,Estimated NR,Estimated CM,Estimated EBITDA,Current Liabilities,Current Assets,Total Liabilities,Fund Balance,EBITDAR
No Known Affiliation,Abbeville County-South Carolina,7.87E-02,4.91E-02,34.172624,-82.41868,No Different than the National Rate,80,92,No Different than National Benchmark,No Different than the National Rate,1.58E-02,46408.86027,416,3592917,2117127,517447,4527857,8714516,11222784,21607978,1910404
No Known Affiliation,Abbeville General Hospital-Louisiana,0.3084774005,0.1463815789,29.811024,-92.19559,No Different than the National Rate,58,85,Not Available,No Different than the National Rate,-6.00E-04,59735.35497,2114,15050484,8230261,407788,3274565,15034888,5556750,26974404,7496925
No Known Affiliation,Abilene Regional Medical Center-Texas,0.2230838299,0.2564195957,32.351817,-99.828758,No Different than the National Rate,68,86,Better than the National Benchmark,No Different than the National Rate,1.07E-02,60862.82506,7418,80480104,47632697,18275756,78826965,32713588,84191286,48806174,26551982
No Known Affiliation,Acadia - St Landry Hospital-Louisiana,5.36E-03,1.82E-03,30.41239,-92.220882,Not Available,Not Available,Not Available,Not Available,Not Available,1.16E-02,64924.01245,488,2753407,1655283,-77555,5266172,10152375,5266172,7363696,-255573
Lafayette General Health,Acadia General Hospital-Louisiana,0.3130731883,0.2145454545,30.217375,-92.392357,No Different than the National Rate,65,86,No Different than National Benchmark,No Different than the National Rate,-3.98E-04,55633.0647,2423,21256228,12108710,2669505,6725173,8985534,6725173,3154921,-3130936
LifePoint,Acadian Medical Center-Louisiana,0.4494807746,0.3995741661,30.485191,-92.418641,No Different than the National Rate,71,90,Not Available,No Different than the National Rate,-4.43E-03,52919.83954,4346,32621516,18762196,3601770,3996192,5965667,134857193,-77138748,1162723
No Known Affiliation,Accel Rehab Hospital Of Plano-Texas,3.69E-03,1.63E-03,33.034913,-96.807924,,,,,,6.64E-02,106843.474,459,6152619,3855190,1177533,,,,,
No Known Affiliation,Ad Hospital East-Texas,1.05E-03,1.00E-03,29.765849,-95.172716,,,,,,5.68E-02,73698.46395,177,4015311,2455716,1675260,,,,,
Adventist Health System,Adventist Medical Center - Reedley-California,0.2156523411,0.1564102564,36.665818,-119.397082,No Different than the National Rate,61,87,No Different than National Benchmark,No Different than the National Rate,0.04551247864,57679.76369,3393,11525273,5347707,-2162800,,,,,
Adventist Health System,Adventist Medical Center-California,0.2634049264,0.1737502035,36.292187,-119.620987,No Different than the National Rate,64,88,No Different than National Benchmark,No Different than the National Rate,4.66E-02,62775.51491,9503,90564758,49205880,9527488,33707796,243878676,237179362,236361527,55106601
AHMC & Healthcare Inc.,Ahmc Anaheim Regional Medical Center-California,0.1413626221,9.46E-02,33.844842,-117.951679,No Different than the National Rate,65,87,No Different than National Benchmark,No Different than the National Rate,3.96E-03,84332.48864,13302,135737813,77818656,23799401,43629875,54973479,44971991,19638722,13853518
Universal Health Services Inc.,Aiken Regional Medical Center-South Carolina,0.3056423069,0.2363426654,33.584176,-81.690513,No Different than the National Rate,70,89,No Different than National Benchmark,No Different than the National Rate,3.90E-02,66022.00631,12066,112758507,66894161,20929478,9253593,27051075,-64244123,149984902,26754302
No Known Affiliation,Alameda Hospital-California,0.1123809524,5.16E-02,37.774507,-122.274836,No Different than the National Rate,65,86,Not Available,No Different than the National Rate,-6.66E-03,90622.4697,2406,22477208,12366857,2120697,103163529,211319339,717439955,-313785791,13136636
No Known Affiliation,Alhambra Hospital Medical Center-California,3.01E-02,1.23E-02,34.090563,-118.128194,No Different than the National Rate,63,88,No Different than National Benchmark,No Different than the National Rate,-4.42E-03,79162.17884,5857,53399956,29086686,3396373,67002587,79325328,67477034,61808677,-56842540
No Known Affiliation,Allegiance Behavioral Health Center-Plainview-Texas,1.78E-03,1.19E-04,34.195672,-101.770125,,,,,,3.31E-02,77832.69723,301,2449311,1374584,-147881,,,,,
No Known Affiliation,Allegiance Specialty Hospital-Kilgore-Texas,2.02E-03,9.69E-04,32.379073,-94.869541,,,,,,2.46E-02,64791.65802,380,3239192,1890772,24617,,,,,
HCA Managed Hospital,Allen County Regional Hospital-Kansas,0.2810126582,0.2128279883,37.936946,-95.414649,No Different than the National Rate,72,Not Available,Not Available,No Different than the National Rate,-2.81E-02,50411.07903,597,3207901,1916183,347211,2152441,5115630,3978138,3535598,-325541
Allen Parish Hospital,Allen Parish Hospital-Louisiana,3.73E-03,2.39E-03,30.477123,-92.901734,No Different than the National Rate,76,Not Available,Not Available,No Different than the National Rate,1.54E-02,64897.68985,1028,4703208,2785539,-426876,1823242,2278617,3386508,252585,-92399
